# Conway's Game of Life Section
# Size: 169x215
# Format: x,y (relative coordinates)
66,0
67,0
66,1
68,1
67,2
68,2
57,11
58,11
57,12
58,12
61,19
62,19
61,20
62,20
27,22
27,23
27,24
73,29
72,30
74,30
72,31
74,31
64,32
65,32
73,32
51,33
52,33
63,33
66,33
32,34
33,34
51,34
52,34
56,34
64,34
65,34
32,35
33,35
55,35
57,35
55,36
57,36
56,37
68,37
69,37
19,38
20,38
68,38
70,38
18,39
21,39
69,39
19,40
20,40
28,43
3,44
4,44
27,44
29,44
2,45
5,45
27,45
30,45
80,45
3,46
4,46
28,46
29,46
80,46
80,47
80,50
81,50
56,51
80,51
81,51
55,52
57,52
38,53
39,53
55,53
57,53
37,54
40,54
56,54
38,55
39,55
34,57
33,58
35,58
51,58
52,58
53,58
33,59
35,59
84,59
85,59
34,60
84,60
85,60
118,63
50,64
117,64
119,64
49,65
51,65
72,65
73,65
118,65
119,65
20,66
49,66
52,66
71,66
74,66
97,66
98,66
108,66
19,67
21,67
50,67
51,67
71,67
73,67
97,67
98,67
108,67
19,68
21,68
72,68
108,68
20,69
118,69
25,70
51,70
52,70
76,70
77,70
117,70
119,70
24,71
26,71
51,71
52,71
76,71
77,71
118,71
119,71
24,72
26,72
107,72
25,73
107,73
97,74
98,74
107,74
82,75
83,75
97,75
98,75
82,76
83,76
135,77
136,77
137,77
156,77
157,77
156,78
157,78
4,79
34,79
35,79
117,79
4,80
34,80
35,80
116,80
118,80
4,81
117,81
118,81
148,81
149,81
148,82
149,82
0,83
1,83
2,83
6,83
7,83
8,83
103,83
49,84
102,84
104,84
4,85
48,85
50,85
102,85
104,85
4,86
49,86
50,86
103,86
167,86
168,86
4,87
166,87
168,87
166,88
167,88
38,89
56,89
113,89
114,89
37,90
39,90
56,90
112,90
115,90
37,91
39,91
56,91
78,91
112,91
115,91
38,92
77,92
79,92
102,92
103,92
113,92
114,92
77,93
80,93
102,93
103,93
78,94
80,94
46,95
47,95
56,95
57,95
79,95
46,96
47,96
56,96
57,96
64,97
65,97
70,97
71,97
64,98
65,98
70,98
71,98
44,100
45,100
85,100
44,101
45,101
84,101
86,101
65,102
66,102
84,102
85,102
134,102
135,102
17,103
18,103
19,103
65,103
66,103
134,103
135,103
87,106
8,107
76,107
77,107
87,107
8,108
27,108
75,108
77,108
87,108
138,108
139,108
140,108
8,109
18,109
26,109
28,109
38,109
39,109
40,109
76,109
80,109
81,109
82,109
17,110
19,110
27,110
28,110
142,110
17,111
19,111
103,111
104,111
117,111
118,111
126,111
127,111
142,111
18,112
103,112
104,112
111,112
112,112
116,112
119,112
125,112
128,112
142,112
35,113
110,113
113,113
117,113
118,113
126,113
127,113
13,114
14,114
22,114
23,114
34,114
36,114
110,114
113,114
12,115
15,115
21,115
24,115
34,115
36,115
71,115
111,115
112,115
122,115
13,116
14,116
22,116
23,116
35,116
70,116
72,116
121,116
123,116
70,117
72,117
121,117
123,117
144,117
18,118
71,118
122,118
143,118
145,118
17,119
19,119
136,119
137,119
138,119
143,119
145,119
17,120
19,120
144,120
18,121
31,122
112,122
113,122
30,123
32,123
112,123
113,123
31,124
33,124
32,125
112,126
113,126
26,127
36,127
37,127
38,127
112,127
113,127
138,127
139,127
25,128
27,128
138,128
139,128
26,129
28,129
45,129
46,129
47,129
105,129
106,129
27,130
105,130
106,130
126,130
127,130
43,131
49,131
80,131
81,131
101,131
126,131
127,131
43,132
49,132
80,132
81,132
101,132
43,133
49,133
101,133
141,133
140,134
142,134
45,135
46,135
47,135
140,135
142,135
141,136
47,140
48,140
49,140
56,140
57,140
55,141
58,141
166,141
45,142
51,142
56,142
57,142
67,142
68,142
85,142
86,142
90,142
91,142
92,142
166,142
45,143
51,143
67,143
68,143
85,143
86,143
166,143
45,144
51,144
62,144
142,144
61,145
63,145
141,145
143,145
47,146
48,146
49,146
61,146
63,146
141,146
143,146
62,147
142,147
117,148
117,149
146,149
147,149
117,150
145,150
148,150
82,151
146,151
147,151
81,152
83,152
81,153
83,153
82,154
139,154
140,154
141,154
110,156
111,156
112,156
143,156
143,157
122,158
123,158
133,158
134,158
135,158
143,158
121,159
124,159
49,160
50,160
122,160
123,160
139,160
140,160
141,160
48,161
51,161
49,162
51,162
62,162
63,162
76,162
77,162
50,163
62,163
63,163
76,163
77,163
40,171
41,171
81,171
82,171
40,172
41,172
80,172
83,172
81,173
83,173
82,174
86,177
86,178
86,179
82,181
83,181
84,181
88,181
89,181
90,181
65,182
64,183
66,183
86,183
64,184
66,184
86,184
65,185
86,185
91,212
92,212
91,213
93,213
92,214
93,214
